no,nama_tempat,nama_reviewer,rating,tanggal,ulasan,jumlah_ulasan_reviewer,foto
231,N/A,Syafira Fatchi Rachmadini,5,2 minggu lalu,N/A,N/A,Tidak
232,N/A,Nasywa Rida,5,2 minggu lalu,N/A,N/A,Tidak
233,N/A,Jrmy Hhh,5,2 minggu lalu,N/A,N/A,Tidak
234,N/A,Yuki Octavian mahendra,5,2 minggu lalu,N/A,N/A,Tidak
235,N/A,azis ptra,5,2 minggu lalu,seru pelayanannya asikk,N/A,Tidak
236,N/A,Alfa 14,5,2 minggu lalu,tempatnya nyaman dan banyak tempat foto bagus,N/A,Tidak
237,N/A,Wann Prasetyo,5,2 minggu lalu,Tempatnya enak,N/A,Tidak
238,N/A,Anisa Ayu,5,2 minggu lalu,"Suasana dan pelayanannya terbaik, kami dapat 2 bakpia sebagai hadiah, terima kasih. Ada photobox jadi kalian bisa mengabadikan momen bersama orang spesial atau diri sendiri dengan 30k (sudah termasuk softfile dan hardfile). Menurutku, cmiiw. Kalian wajib cobain kedai kopi ini, patut dicoba!",N/A,Tidak
239,N/A,khoiria lestari,5,2 minggu lalu,Sangat nyaman untuk santai ataupun tugas,N/A,Tidak
240,N/A,Jepara Kota,5,2 minggu lalu,pelayanan ramah tempat baguss aesthetic 🥰🥰,N/A,Tidak
241,N/A,ROSSHA OLIVIA NINGRUM,5,2 minggu lalu,Cozy banget si buat tempatnya pelayanannya juga bagus banget pada ramah semua,N/A,Tidak
242,N/A,Abellia Puspita,5,2 minggu lalu,Suasana hati yang nyaman,N/A,Tidak
243,N/A,Hany,5,2 minggu lalu,"Tempatnya instagramable, crewnya ramah ramah, fasilitasnya bagus dan nyaman banget.",N/A,Tidak
244,N/A,Fajar Mega Novi,5,2 minggu lalu,N/A,N/A,Tidak
245,N/A,Dimas Aji,5,2 minggu lalu,"tempat nongkrong dgn vibes kyk bar gt, menunya ok mulai dari minuman/snack dan pastry. Di dalem jg macam” spot buat duduknya tapi gabisa ngeroko cuma bisa pod, kalo mo ngeroko harus di smoking room khusus. Terimakasihh🤩",N/A,Tidak
246,N/A,Arti Kumala Sari,5,2 minggu lalu,N/A,N/A,Tidak
247,N/A,Gundul Menawan,5,2 minggu lalu,N/A,N/A,Tidak
248,N/A,Hanna,5,2 minggu lalu,N/A,N/A,Tidak
249,N/A,Key Nin,5,2 minggu lalu,"tempatnya bagusss, menarik, banyak juga spot2 potonya",N/A,Tidak
250,N/A,Salma Khoirunisa,5,2 minggu lalu,N/A,N/A,Tidak
251,N/A,faiq ganteng12,5,2 minggu lalu,N/A,N/A,Tidak
252,N/A,Apriliatul Ifada,5,2 minggu lalu,N/A,N/A,Tidak
253,N/A,Desvia nrl,5,2 minggu lalu,Makanannya oke dan minumannya enak overall sih oke banget. Untuk suasana dan tema cafe oke banget bikin betahhh😊,N/A,Tidak
254,N/A,elll,5,2 minggu lalu,N/A,N/A,Tidak
255,N/A,Fanny Meliyanawaty,5,2 minggu lalu,N/A,N/A,Tidak
256,N/A,noor intan may,5,2 minggu lalu,N/A,N/A,Tidak
